id,solver,result,len_proof,time,benchmark_id,polymul
7561981c-c361-4a6b-907e-e622e239e521,z3,solved,494,0.09,cubes_norm_inv2_2xlen3.smt2,-1
05c2e1dc-8419-41b0-b428-bce2befdac74,z3,solved,750,0.16,cubes_norm_inv2_3xlen2.smt2,-1
8986c937-f082-4716-af92-bdcc4d36d895,z3,solved,231,0.03,cubes_norm_inv3_1xlen2.smt2,-1
8866e1d1-f8b8-4d72-bd20-ffefd543639d,z3,solved,251,0.03,cubes_norm_inv3_1xlen3.smt2,-1
89b45e03-ee98-4177-adcf-bf17d1d78bd0,z3,solved,236,0.03,cubes_norm_inv3_1xlen4.smt2,-1
2abd83c9-ef49-463e-b22b-ffae9be4e743,z3,solved,314,0.05,cubes_norm_inv3_2xlen2.smt2,-1
b51b244c-6788-4c39-a1ad-509425134e4f,z3,solved,549,0.18,cubes_norm_inv3_2xlen3.smt2,-1
c2b8fe19-10a0-4f47-9b01-94c368d6e61f,z3,solved,469,0.12,cubes_norm_inv3_3xlen2.smt2,-1
e2c67401-dfd7-4678-b9f9-915ae8782e7c,z3,solved,217,0.02,cubes_norm_inv4_1xlen2.smt2,-1
9afe2cea-2365-4ac6-ae3a-5c362ae23735,z3,solved,262,0.03,cubes_norm_inv4_1xlen3.smt2,-1
96cba6e6-ae72-431c-8a39-0181f8dfcf2b,z3,solved,258,0.03,cubes_norm_inv4_1xlen4.smt2,-1
2c919736-4f68-492e-be19-4c95d81211b7,z3,solved,342,0.04,cubes_norm_inv4_2xlen2.smt2,-1
3449dcb2-cc99-43c2-9131-c8b3a9e9794d,z3,solved,516,0.07,cubes_norm_inv4_2xlen3.smt2,-1
c2639e59-5dd8-4a7d-b3c2-fd822d078862,z3,solved,446,0.1,cubes_norm_inv4_3xlen2.smt2,-1
d93c51cd-7a7a-4d15-985d-a93f3bdc89b3,vampireZ3,solved,49,0.05,eucliddiv_norm_inv1_1xlen2.smt2,0
aa99d7a8-fb52-4789-a529-e91e1f532cfd,vampireZ3,solved,58,0.053,eucliddiv_norm_inv1_1xlen3.smt2,0
7bf379c8-cc39-420f-829c-e189d55df8cf,vampireZ3,solved,49,0.049,eucliddiv_norm_inv1_1xlen4.smt2,0
ab43e45c-01a4-4798-bdd5-7b21802c7b9a,vampireZ3,solved,90,0.072,eucliddiv_norm_inv1_2xlen2.smt2,0
7e480e0d-2886-4ee3-80a2-0a14c5408ccd,vampireZ3,solved,113,0.095,eucliddiv_norm_inv1_2xlen3.smt2,0
b56df7c8-b4a2-4ac9-8fa4-191953169d5b,vampireZ3,solved,108,0.092,eucliddiv_norm_inv1_3xlen2.smt2,0
eb8babc6-3292-49da-9def-ddd8d5d89104,vampireZ3,solved,49,0.059,eucliddiv_norm_inv2_1xlen2.smt2,0
1dfa53ce-0b3a-443b-ae5d-a67312a3f0de,vampireZ3,solved,16,2.04,eucliddiv_norm_inv2_1xlen3.smt2,0
b49ed332-0911-4dd9-b337-ee0104408b63,vampireZ3,solved,105,0.075,eucliddiv_norm_inv2_1xlen4.smt2,0
69e51df9-c848-462e-baac-138be0b87d74,vampireZ3,solved,120,0.059,eucliddiv_norm_inv2_2xlen2.smt2,0
2c04a65e-40e7-4bb8-abec-85897b1260d3,vampireZ3,solved,16,2.093,eucliddiv_norm_inv2_2xlen3.smt2,0
413008b0-5606-4953-916c-cfe80b37448b,vampireZ3,solved,16,2.056,eucliddiv_norm_inv2_3xlen2.smt2,0
c7405c47-4604-43dc-a03b-376a27e30527,z3,solved,70,0.02,eucliddiv_norm_inv1_1xlen2.smt2,-1
